,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
43,1,1,0,0,0,0,1,0,0,0,2,0,0,2,0,3,2,0,1,2,1,1,3,2,0,1,0,0,1,0,0,0,1,0,0,2,0,1,1,1,0,0,2,2,3,2,0,0,0,2,0,3,0,3,1,2
44,0,2,0,0,0,2,2,3,3,1,2,2,2,2,0,0,2,0,0,0,1,1,1,2,1,1,6,1,1,2,1,1,2,0,1,2,3,1,1,3,6,1,1,1,1,3,2,1,0,1,1,1,0,3,0,1
45,3,1,0,1,1,2,1,2,1,1,0,2,0,1,2,2,1,2,1,2,1,1,2,1,1,5,6,1,0,0,2,1,0,2,2,2,3,3,2,2,6,1,1,1,4,3,2,1,0,0,0,2,0,0,1,5
46,2,1,1,2,2,3,1,0,0,2,2,1,0,2,2,2,2,0,0,1,2,2,3,0,0,0,9,0,0,2,2,2,2,0,0,2,1,3,0,3,9,1,1,0,0,2,2,1,2,0,6,3,0,1,1,3
47,3,1,2,1,1,0,1,0,1,1,2,2,2,2,0,0,0,1,1,0,1,1,1,2,0,4,1,1,1,1,1,1,0,0,1,1,1,0,1,2,1,1,1,0,1,1,2,1,1,0,1,0,1,1,0,4
48,0,2,0,0,0,0,0,0,3,1,2,2,2,1,2,2,1,1,1,0,2,2,1,2,0,5,2,0,0,0,0,2,0,1,0,2,1,1,2,0,2,0,2,2,3,1,0,2,2,0,2,1,1,0,1,0
49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,3,0,0,3,8,0,1,2,0,5,0,0,0,2,1,1,2,0,8,1,1,0,1,1,1,2,0,0,6,3,0,2,0,3
50,0,1,0,2,2,3,0,1,2,0,0,2,2,2,0,3,2,1,1,1,0,0,3,0,0,0,2,0,0,2,0,2,0,2,1,0,1,0,1,2,2,1,1,0,3,1,0,0,3,2,2,2,1,0,1,2
51,3,3,2,3,3,1,1,0,0,0,1,1,1,0,0,3,2,0,0,1,1,1,2,1,0,3,9,0,1,2,1,2,0,2,0,1,1,1,2,0,9,1,1,0,5,0,2,1,1,0,2,4,0,1,1,4
52,2,3,2,1,1,3,2,1,0,0,1,0,1,0,0,2,2,0,0,1,0,0,3,0,0,2,0,0,1,1,1,0,3,0,1,1,0,0,1,1,0,1,1,0,5,0,0,1,0,0,0,4,0,3,1,1
53,0,0,1,2,2,0,2,0,0,0,2,0,0,1,1,2,0,2,0,0,2,2,0,0,1,0,7,0,0,0,0,4,0,0,1,2,1,1,0,0,7,2,2,2,2,1,2,2,3,1,4,0,1,3,1,4
54,0,2,1,2,2,2,1,0,2,0,0,0,2,0,0,3,2,2,0,1,2,2,1,2,1,3,9,0,1,2,2,2,2,0,1,1,1,1,2,0,9,2,2,2,1,0,0,2,2,1,0,3,0,1,0,3
55,0,2,0,0,0,0,0,3,3,1,0,0,0,1,1,0,0,0,2,0,2,2,1,0,1,5,6,1,0,2,2,1,0,2,1,2,3,1,2,0,6,0,0,0,1,3,2,0,0,0,1,3,0,3,0,1
56,3,2,0,3,3,3,2,0,3,0,2,2,1,1,1,0,0,1,0,0,2,2,2,1,1,1,9,0,1,2,2,2,3,2,0,2,1,2,2,1,9,1,1,1,4,1,0,2,0,2,0,1,0,3,0,4
57,2,3,3,3,3,3,3,3,3,0,0,0,0,0,0,1,1,2,1,1,0,0,3,0,1,3,9,0,1,2,2,2,3,1,1,2,1,0,2,1,9,1,1,1,0,2,2,2,0,2,0,2,0,1,1,5
58,3,1,1,3,3,2,3,2,1,0,1,0,1,1,1,0,0,2,0,0,1,1,2,1,1,4,5,0,2,0,2,3,0,2,2,2,2,1,1,0,5,1,1,1,2,3,1,1,0,0,4,4,3,0,0,2
59,1,1,0,0,0,0,0,2,2,1,0,2,2,0,0,1,2,0,0,2,2,2,0,0,0,4,4,0,2,0,0,2,0,1,2,0,0,2,1,2,4,1,2,2,0,1,0,2,0,1,0,3,1,2,0,4
60,1,1,1,0,0,0,2,0,0,1,2,2,2,2,2,1,1,1,1,2,2,2,2,0,0,4,7,0,2,0,2,4,2,0,0,0,1,0,0,0,7,0,1,0,5,2,2,1,0,0,2,1,3,3,0,4
61,0,1,1,2,2,0,0,0,2,1,0,2,2,2,0,1,2,1,1,1,0,0,2,0,0,0,9,0,1,1,1,2,0,1,0,0,1,1,3,2,9,1,1,0,6,2,2,2,0,2,0,3,0,1,0,3
62,0,3,1,1,1,1,1,1,0,0,2,2,2,2,0,1,1,0,1,1,1,1,3,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0,2,2,2,4,0,1,1,0
63,3,2,2,3,3,0,1,0,1,1,2,2,1,2,2,2,1,0,0,1,1,1,1,1,0,1,0,0,1,2,2,0,0,2,2,1,0,2,2,1,0,1,2,2,4,2,0,0,0,2,6,0,0,3,1,3
64,0,0,0,2,2,0,0,1,1,0,2,2,2,0,0,1,1,0,1,2,0,0,0,0,0,1,6,1,2,2,2,1,0,2,0,0,3,0,3,2,6,0,0,0,3,2,2,1,0,1,3,0,3,3,0,1
65,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,2,0,0,2,2,1,2,1,1,0,0,3,2,2,0,3,0,1,1,0,0,2,1,0,1,2,2,5,0,0,0,1,2,6,0,0,2,0,3
66,2,1,3,3,3,0,0,3,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,4,3,0,1,2,0,1,0,2,2,0,2,1,2,3,3,2,2,2,4,1,2,2,0,0,4,0,3,2,0,1
67,2,1,1,0,0,0,1,0,0,0,2,0,0,0,0,3,2,1,1,1,1,1,1,2,0,0,10,0,0,0,0,2,0,2,2,0,4,1,2,0,10,0,0,0,4,0,0,2,2,2,0,3,1,0,1,1
68,3,3,3,3,3,3,2,0,1,0,0,0,2,2,0,3,2,0,1,1,1,1,1,2,0,0,1,1,0,0,2,1,3,1,1,1,1,1,2,3,1,1,1,0,4,1,1,1,2,1,6,0,1,1,1,5
69,0,1,0,0,0,3,0,1,1,0,1,1,1,0,0,0,2,0,1,2,0,0,0,0,2,5,0,0,1,1,0,0,0,0,2,0,0,1,1,1,0,2,0,2,6,0,0,0,1,0,0,3,1,1,1,0
70,0,0,3,2,2,2,3,3,1,1,1,0,2,2,2,0,0,0,2,2,2,2,2,1,0,1,6,1,1,1,1,1,3,1,1,1,3,3,3,2,6,0,0,0,4,3,1,0,0,1,1,2,3,1,1,1
71,1,1,1,2,2,0,0,2,2,0,0,0,0,2,0,0,0,0,2,1,0,0,2,1,0,4,10,0,1,2,0,2,0,2,2,0,4,0,0,3,10,1,1,0,4,2,2,0,3,1,6,4,3,3,1,1
72,3,2,1,1,1,0,2,0,0,1,0,2,0,1,1,3,0,1,0,0,1,1,2,0,1,0,6,1,0,2,1,1,0,0,0,2,3,0,1,2,6,1,1,1,1,3,1,2,0,0,1,0,0,0,0,1
73,0,0,2,2,2,0,2,2,2,1,2,2,2,2,0,0,1,1,0,0,0,0,1,2,0,0,7,0,1,2,0,4,0,0,0,1,1,1,2,3,7,1,1,0,6,1,0,2,3,1,6,4,3,3,1,0
74,2,1,0,1,1,1,2,3,3,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,1,3,7,0,3,2,0,4,0,0,0,0,1,0,3,2,7,1,1,1,2,0,0,0,2,2,4,3,2,3,1,3
75,1,2,1,2,2,3,0,1,3,1,0,0,0,1,1,1,0,0,2,0,0,0,1,2,1,3,9,0,3,1,0,2,1,2,2,0,1,3,1,2,9,1,1,1,5,2,2,2,0,2,0,3,0,1,0,3
76,2,1,0,1,1,3,1,1,0,0,2,0,0,1,1,0,0,1,0,0,2,2,2,1,1,3,6,1,1,1,1,1,2,0,0,1,3,1,1,1,6,1,1,1,1,0,0,2,0,1,1,3,1,3,0,1
77,3,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1,0,0,2,0,0,0,2,2,1,3,3,0,3,1,2,1,3,1,0,1,2,2,2,1,3,2,2,2,4,1,0,0,3,1,3,2,2,1,0,1
78,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,5,0,1,2,0,3,0,2,2,0,2,0,3,1,5,1,1,0,4,3,2,1,1,1,3,3,0,2,0,5
79,3,1,0,1,1,3,1,0,0,2,0,1,1,2,2,3,2,0,1,2,2,2,0,0,0,1,3,0,3,2,2,1,2,1,0,2,2,1,1,3,3,0,0,0,4,3,2,0,0,1,3,1,2,2,1,1
80,0,1,0,0,0,0,1,2,0,1,1,0,1,1,1,2,0,0,0,0,0,0,3,0,1,0,2,0,1,2,0,2,2,0,1,2,1,1,2,3,2,0,0,0,5,0,2,2,2,2,3,2,0,3,0,2
81,0,1,1,2,2,2,1,2,2,2,0,1,1,2,0,3,2,0,1,1,0,0,2,2,1,3,8,0,1,1,1,5,2,0,0,2,1,0,1,2,8,1,1,1,1,3,1,2,0,0,5,1,0,3,0,3
82,2,0,3,3,3,0,2,0,0,0,0,0,0,0,0,3,2,1,1,1,1,1,0,2,0,1,6,1,0,2,1,1,0,1,0,2,3,0,2,1,6,0,0,0,4,1,1,1,0,1,4,4,1,1,0,4
83,1,0,0,0,0,1,3,3,1,0,2,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,6,1,0,0,0,1,3,1,1,1,3,0,1,2,6,1,1,0,1,1,2,0,1,1,1,1,2,3,1,4
84,1,0,1,2,2,0,1,0,0,0,2,0,0,1,2,3,2,2,0,2,2,2,2,2,1,3,5,0,0,0,0,3,3,1,2,0,2,1,3,2,5,1,1,1,3,1,2,1,1,1,2,1,0,0,0,4
85,2,1,0,0,0,1,0,3,3,1,2,2,0,0,0,1,1,0,0,2,0,0,0,0,1,5,7,0,3,2,0,4,2,1,2,0,1,3,0,2,7,1,1,1,2,3,0,2,3,2,3,2,2,0,1,0
86,1,1,3,1,1,2,2,0,0,1,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,1,6,1,1,2,0,1,0,0,1,0,3,0,1,2,6,0,0,0,1,2,2,0,0,1,4,3,1,0,0,4
87,1,2,0,3,3,0,3,3,3,1,1,0,0,2,2,0,1,1,2,0,1,1,2,1,1,0,9,0,1,2,1,2,1,1,2,2,1,1,0,3,9,1,1,1,1,2,2,2,0,0,0,1,0,1,0,3
88,0,0,1,2,2,3,2,0,2,0,2,2,2,0,0,0,2,1,1,2,1,1,0,1,0,5,7,0,1,0,2,4,0,1,0,2,1,0,1,2,7,1,1,0,3,3,2,2,3,2,0,0,3,3,1,0
89,0,1,0,2,2,3,1,1,0,1,2,2,2,0,0,1,2,0,1,1,2,2,1,0,2,0,7,0,0,0,0,4,3,0,0,0,1,0,2,2,7,1,1,2,5,2,0,2,3,1,0,3,2,0,0,0
90,1,3,3,1,1,2,1,0,0,2,2,1,1,1,1,1,0,1,0,0,1,1,2,1,1,3,2,0,3,2,1,2,0,0,2,2,1,2,3,2,2,1,1,1,6,2,2,0,0,2,2,1,2,1,0,2
91,3,1,1,0,0,2,2,3,3,1,2,2,2,0,0,2,2,1,1,2,1,1,0,1,2,0,5,0,1,1,1,3,2,1,2,0,2,0,0,0,5,2,2,2,3,3,1,2,1,1,2,1,3,3,0,5
92,2,2,2,3,3,2,1,0,3,1,2,2,2,1,1,3,0,1,0,0,1,1,1,2,1,2,4,0,0,0,0,2,2,2,2,0,0,0,1,2,4,1,0,0,3,3,0,2,0,1,2,3,1,2,0,3
93,1,0,1,2,2,2,2,2,2,1,0,2,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,2,0,0,2,1,1,0,1,1,0,0,0,0,1,2,2,0,0,0,0,1,4
94,1,1,0,0,0,0,3,0,0,1,2,2,2,1,1,1,0,0,2,0,2,2,1,0,1,1,7,0,1,1,1,4,0,0,0,2,1,0,2,2,7,1,1,1,6,3,1,0,1,2,6,0,2,3,1,4
95,0,0,0,2,2,0,2,2,2,0,2,2,2,1,2,0,0,0,2,0,0,0,1,1,1,3,3,0,1,1,2,1,2,1,0,1,2,0,1,2,3,1,1,1,3,2,1,1,3,0,2,2,2,1,0,1
96,1,1,0,0,0,1,3,3,3,1,2,2,2,1,1,2,0,0,0,0,2,2,0,0,1,0,9,0,1,1,1,2,0,0,0,0,1,0,0,3,9,0,0,0,4,0,2,2,0,2,6,2,0,1,1,3
97,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,2,2,4,0,1,0,0,2,0,2,1,0,0,1,3,2,4,1,1,2,3,0,0,1,3,2,1,3,1,2,0,1
98,0,1,3,1,1,0,2,0,1,2,0,1,1,1,1,2,0,0,0,0,1,1,2,1,1,3,3,0,1,2,1,1,2,0,0,1,2,3,0,0,3,0,0,0,3,2,0,1,0,1,2,2,3,2,1,3
99,2,1,1,0,0,3,1,1,0,1,2,2,2,1,0,3,2,1,0,2,2,2,2,1,2,4,10,0,1,2,2,2,3,0,1,1,4,1,3,2,10,0,0,2,3,2,2,1,2,0,5,0,1,3,1,5
100,0,3,0,0,0,0,1,0,0,0,2,0,2,0,0,3,2,0,0,1,2,2,3,2,1,0,10,0,1,2,2,2,0,0,1,1,4,0,1,2,10,1,1,1,6,0,0,1,2,0,1,1,1,3,1,4
101,0,1,0,0,0,3,0,0,0,0,1,1,2,2,2,1,1,0,0,2,0,0,0,0,1,4,7,0,3,1,0,4,0,2,2,0,1,1,0,3,7,1,1,1,6,1,0,1,0,2,6,1,3,3,1,3
102,2,1,3,1,1,0,1,0,0,1,2,2,2,0,0,3,2,2,1,1,1,1,1,2,2,0,5,0,1,2,2,3,0,0,1,1,2,0,1,2,5,1,1,2,2,1,1,1,0,1,1,3,0,2,0,5
103,0,1,0,0,0,3,1,0,0,2,2,1,1,2,0,3,2,1,1,1,2,2,2,1,0,1,7,0,1,2,2,4,2,1,2,0,1,1,1,3,7,2,2,2,2,0,0,2,3,0,4,3,3,1,1,0
104,0,2,1,2,2,3,0,1,0,0,2,2,2,1,2,1,1,2,0,2,2,2,1,0,0,3,8,0,2,0,0,5,2,2,2,0,1,0,1,2,8,0,0,0,1,2,1,2,0,0,6,3,1,3,0,4
105,3,1,2,1,1,3,1,0,0,1,0,0,1,0,0,2,0,2,1,1,1,1,3,0,0,1,9,0,3,1,1,2,0,0,1,2,1,1,0,0,9,0,0,0,5,1,2,1,3,2,6,3,0,2,1,4
106,0,3,0,0,0,3,0,1,3,1,2,2,2,1,2,2,1,1,2,2,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,3,2,1,2,0,0,1,1,2,1,3,0,1,1,1,1,1,1
107,1,1,0,0,0,1,3,3,1,2,0,1,1,2,0,0,0,0,2,2,0,0,0,0,1,3,4,0,3,2,0,2,2,1,1,2,0,1,3,2,4,1,1,1,3,0,0,2,0,1,0,3,1,2,0,3
108,1,1,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,6,1,1,2,0,1,0,0,1,1,3,1,0,0,6,2,2,2,1,3,2,2,0,1,1,4,1,2,1,5
109,2,2,3,3,3,2,0,3,3,1,0,2,0,2,0,2,2,0,0,1,0,0,0,2,0,4,9,0,1,1,2,2,1,2,2,0,1,2,2,2,9,1,1,0,0,0,0,2,1,2,1,3,0,3,1,3
110,2,1,0,0,0,2,2,3,3,0,0,0,0,1,1,3,0,0,0,0,2,2,3,0,1,0,2,0,1,2,2,2,1,2,0,0,1,2,1,2,2,1,1,1,6,0,2,0,0,1,3,2,1,0,1,2
111,3,1,0,0,0,0,3,1,0,1,0,2,2,2,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,1,1,0,1,2,2,0,0,0,1,2,0,1,1,0,5,0,0,0,1,2,6,0,0,3,1,0
112,1,1,0,0,0,0,2,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,2,1,5,7,0,0,2,2,4,0,0,1,1,1,2,1,1,7,1,1,1,6,2,1,2,0,0,4,2,3,0,0,4
113,2,1,0,0,0,2,0,1,0,0,0,0,0,1,2,0,0,1,1,0,2,2,2,2,0,0,1,1,1,2,2,1,1,0,0,0,1,0,1,1,1,2,2,2,4,1,1,1,2,1,4,1,1,1,1,1
114,1,3,0,1,1,2,2,2,2,1,2,2,2,2,0,2,2,0,0,1,2,2,0,0,0,1,1,1,0,1,1,1,0,2,0,0,1,1,1,3,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1
