,GoodStudent,Age,SocioEcon,RiskAversion,VehicleYear,ThisCarDam,RuggedAuto,Accident,MakeModel,DrivQuality,Mileage,Antilock,DrivingSkill,SeniorTrain,ThisCarCost,Theft,CarValue,HomeBase,AntiTheft,PropCost,OtherCarCost,OtherCar,MedCost,Cushioning,Airbag,ILiCost,DrivHist
15,0,2,0,1,1,2,2,2,1,1,2,1,1,0,1,0,2,0,0,1,0,0,1,3,1,0,0
16,0,0,2,3,1,3,1,3,1,2,2,1,1,0,1,0,2,1,0,1,0,0,1,3,1,0,1
17,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,1
18,0,0,0,1,0,2,0,2,0,1,3,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2
19,0,0,1,0,0,2,1,2,1,1,3,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,2
20,0,2,0,2,0,2,0,2,0,1,2,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2
21,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2
22,0,0,0,0,0,2,1,2,1,1,0,0,1,0,1,0,2,0,0,0,0,1,1,2,1,0,2
23,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,1,2,1,0,1,2,0,0,1
24,0,0,2,1,1,2,0,2,2,2,2,1,1,0,1,0,3,2,0,1,0,1,1,1,1,0,2
25,0,0,1,0,0,2,1,2,1,0,2,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1
26,0,2,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,2,0,1,3,1,0,1
27,0,0,2,0,1,2,0,2,3,0,2,1,0,0,1,0,2,1,1,1,0,0,1,2,1,0,1
28,0,2,0,3,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
29,0,1,1,0,1,2,0,2,3,1,3,1,1,0,1,0,2,2,0,1,0,0,1,2,1,0,2
30,0,0,2,2,1,2,1,2,1,1,3,0,1,0,1,0,2,2,1,0,0,0,1,2,1,0,2
31,0,2,0,2,0,2,1,2,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,2
32,0,2,0,2,0,2,0,2,0,2,2,0,2,1,1,0,0,0,1,1,0,1,1,0,0,0,2
33,0,0,0,0,0,2,1,2,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2
34,0,2,1,0,0,0,1,0,0,2,2,0,2,0,0,0,0,1,0,2,1,0,3,0,0,0,2
35,1,1,2,0,1,2,2,2,1,0,3,0,0,0,1,0,2,2,1,1,0,1,1,3,1,0,1
36,0,0,1,0,1,1,1,1,1,0,3,0,0,0,2,0,2,2,0,2,2,1,1,3,1,1,2
37,0,0,1,2,0,2,0,2,3,1,2,0,1,0,1,0,0,2,1,1,0,0,1,0,0,0,2
38,0,0,0,0,0,2,0,2,0,1,3,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,2
39,0,0,0,2,1,2,0,2,0,1,0,0,1,0,1,0,2,0,1,1,0,0,1,1,1,0,2
40,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,1,0,2,1,1,2,0,1,1
41,0,2,2,1,1,0,1,0,2,0,3,1,0,0,2,0,3,0,1,2,0,1,1,2,1,0,1
42,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2
43,0,0,0,0,0,1,0,1,3,0,2,0,0,0,0,0,1,0,0,3,1,1,3,0,0,2,1
44,0,2,1,0,0,2,1,2,1,2,2,0,2,1,1,0,2,2,0,1,0,1,1,2,0,0,2
45,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
46,0,0,0,1,0,2,0,2,0,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2
47,0,0,2,0,1,2,2,2,2,0,2,1,0,0,1,0,3,2,1,1,0,0,1,3,1,0,1
48,0,0,1,1,1,2,1,2,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,3,1,0,2
49,0,0,0,0,0,2,2,2,1,2,2,0,2,0,1,0,2,0,1,1,0,1,1,2,0,0,2
50,0,0,1,0,1,2,1,2,1,1,2,1,1,0,1,0,2,2,0,1,0,0,1,1,1,0,2
51,0,2,2,2,1,2,2,2,2,1,2,1,1,1,1,0,3,2,1,0,0,0,1,3,1,0,2
52,1,1,1,0,0,2,1,2,1,1,3,0,1,0,1,0,0,2,1,1,0,0,1,2,0,0,0
53,0,2,2,2,1,2,1,2,0,2,2,0,2,1,1,0,1,2,1,1,0,0,1,2,1,0,2
54,1,1,2,2,0,2,1,2,1,1,2,0,1,0,1,0,0,2,1,0,0,0,1,1,0,0,2
55,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1
56,0,0,1,0,1,2,1,2,1,0,0,1,0,0,1,0,2,1,0,1,0,0,1,1,1,0,1
57,0,0,0,1,0,2,2,2,1,0,2,0,1,0,1,0,0,3,0,1,0,0,1,3,1,0,0
58,0,0,1,0,0,1,1,1,1,0,2,0,0,0,0,0,0,3,1,2,1,0,1,3,1,0,1
59,0,1,2,2,1,0,2,1,2,0,1,1,0,0,2,0,3,2,1,2,2,0,1,3,1,0,2
60,0,2,0,2,0,2,0,2,0,1,3,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,2
61,0,2,2,2,1,2,1,2,1,0,0,0,0,1,1,0,1,2,1,1,0,0,1,2,1,0,0
62,0,0,0,2,0,2,0,2,0,1,3,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2
63,0,0,1,2,0,2,0,2,3,1,2,1,1,0,1,0,2,2,1,1,0,0,1,0,0,0,2
64,0,0,0,0,1,2,0,2,0,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1
65,0,2,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2
66,0,1,0,1,0,2,0,2,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1
67,0,0,2,2,0,2,2,2,2,2,3,0,1,0,1,0,3,2,1,1,0,0,1,2,0,0,2
68,0,1,3,1,1,2,2,2,2,2,2,1,1,0,1,0,3,2,1,1,0,0,1,3,1,0,2
69,0,2,0,2,0,2,2,2,1,1,0,0,1,1,1,0,2,0,1,1,0,0,1,3,1,0,2
70,0,0,1,2,1,3,0,3,0,0,1,0,0,0,1,0,1,2,1,0,0,0,1,0,1,0,0
71,1,1,1,0,0,2,0,2,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2
72,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
73,0,0,1,0,0,2,1,2,1,1,3,0,1,0,1,0,2,1,0,0,0,1,1,2,0,0,2
74,0,2,0,0,0,2,0,2,0,2,2,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,2
75,0,1,0,1,0,2,0,2,0,2,3,0,1,0,1,0,0,3,0,1,0,1,1,1,0,0,2
76,0,2,0,0,0,2,0,2,3,1,2,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,2
77,0,1,1,1,0,2,1,2,1,0,3,0,0,0,1,0,2,1,0,1,0,0,1,3,1,0,1
78,1,1,2,1,1,2,1,3,2,0,2,1,0,0,1,0,3,0,1,1,0,0,1,1,1,0,1
79,0,0,2,1,1,2,1,2,2,1,2,1,1,0,1,0,3,2,0,1,0,0,1,2,1,0,1
80,0,1,1,0,1,2,0,2,3,0,3,1,0,0,1,0,3,1,0,1,0,0,1,0,1,0,1
81,0,0,1,2,0,2,2,2,1,1,2,0,1,0,1,0,0,2,1,1,0,0,1,3,0,0,2
82,1,1,1,0,0,2,0,2,0,0,3,0,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0
83,0,1,1,1,1,2,1,2,1,1,3,0,1,0,1,0,2,0,0,1,0,1,1,2,1,0,2
84,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1
85,0,0,3,0,1,2,0,2,3,1,2,1,1,0,1,0,2,2,0,1,0,0,1,2,1,0,2
86,0,0,2,1,1,2,1,2,2,1,3,1,1,0,1,0,3,1,1,1,0,0,1,2,1,0,1
87,0,0,0,0,1,2,0,2,0,1,2,0,1,0,1,0,0,3,0,1,0,1,1,2,1,0,2
88,0,0,0,0,0,2,0,2,0,1,3,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,2
89,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,1,1,0,3,1
90,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
91,0,2,0,0,0,2,1,2,1,1,3,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
92,0,0,1,0,0,2,0,2,1,1,2,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,2
93,0,0,0,2,0,2,0,2,0,1,3,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,2
94,0,1,0,1,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,2,2,0,1,2,0,0,2
95,0,0,1,2,0,2,2,2,1,2,3,0,1,0,1,0,0,2,1,1,0,0,1,2,0,0,2
96,0,0,1,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1
97,0,0,2,0,1,2,1,2,1,1,3,1,1,0,1,0,2,1,1,1,0,0,1,2,1,0,2
98,0,0,1,0,0,1,1,1,1,0,2,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,1
99,0,0,1,1,1,3,0,3,1,0,2,1,0,0,1,0,2,1,0,1,0,0,1,1,1,0,1
100,0,0,1,2,0,2,0,2,3,1,3,0,1,0,1,0,1,2,1,1,0,0,1,1,0,0,2
101,0,2,0,2,0,2,0,2,3,1,3,0,1,1,1,0,2,0,1,1,0,0,1,0,0,0,2
102,0,1,0,1,0,2,0,2,0,1,0,0,1,0,2,1,2,0,0,2,0,1,1,0,0,0,1
103,0,2,2,2,1,2,0,2,3,2,2,1,2,1,1,0,2,2,1,1,0,0,1,0,1,0,2
104,0,2,2,2,1,2,1,2,2,0,2,1,0,1,1,0,3,2,1,1,0,0,1,1,1,0,0
105,0,2,0,2,0,2,0,2,0,2,2,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,2
106,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0,2,1,0,2,0,0,0,1
107,0,0,1,0,0,2,2,2,1,1,0,0,1,0,1,0,2,1,0,1,0,0,1,3,0,0,2
108,0,2,2,2,1,2,1,2,1,1,3,1,1,1,1,0,2,2,1,1,0,0,1,2,1,0,2
109,0,0,2,2,1,2,1,2,1,1,2,0,1,0,1,0,2,2,1,0,0,0,1,3,1,0,2
110,0,2,2,2,1,2,1,2,1,1,3,1,1,1,1,0,2,2,1,0,0,0,1,3,1,0,2
111,0,0,0,0,0,2,0,2,3,1,2,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,2
112,0,2,2,1,0,1,0,1,3,0,2,0,1,0,0,0,1,2,0,2,2,0,2,1,0,0,2
113,0,0,0,0,0,2,1,2,0,1,3,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,2
114,0,0,1,2,1,3,1,3,1,0,0,1,0,0,1,0,2,2,1,0,0,0,1,3,1,0,2
115,0,2,0,2,0,2,1,2,1,2,2,0,1,1,1,0,0,0,1,1,0,0,1,2,1,0,1
116,0,1,0,1,0,0,0,3,0,0,2,0,0,0,1,0,0,3,0,1,0,0,1,1,0,0,1
117,0,0,2,1,1,2,1,2,2,0,3,1,0,0,1,0,3,0,0,1,0,0,1,2,1,0,1
118,0,0,1,2,1,2,1,2,1,1,2,0,1,0,1,0,2,2,1,1,0,0,1,2,1,0,2
119,0,0,1,1,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,2,2,0,1,2,1,0,1
120,0,0,1,1,0,2,1,2,1,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2
121,0,0,0,2,0,2,0,2,0,1,2,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2
122,0,1,1,1,0,2,2,2,1,2,0,0,1,0,1,0,1,1,0,0,0,0,1,2,0,0,0
123,0,0,1,0,0,2,2,2,1,1,2,0,1,0,1,0,0,2,0,1,0,1,1,2,0,0,2
124,0,2,0,0,1,2,1,2,0,1,2,0,1,0,1,0,1,0,0,1,0,1,1,2,1,0,2
125,0,2,0,0,1,2,0,2,0,0,3,0,0,0,1,0,1,3,0,0,0,1,1,0,1,0,1
126,0,0,1,1,1,3,1,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,2,1,0,1
127,0,0,1,1,1,2,2,2,1,2,3,1,1,0,1,0,2,1,0,1,0,0,1,3,1,0,2
128,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
129,0,0,2,0,0,2,1,2,2,1,0,0,1,0,1,0,2,2,1,0,0,0,1,2,1,0,2
130,0,0,1,2,1,2,1,2,1,0,0,1,0,0,1,0,2,2,1,1,0,0,1,3,1,0,2
131,0,2,2,0,0,2,1,2,2,1,3,0,1,0,1,0,3,1,1,1,0,0,1,3,1,0,2
132,0,0,1,0,0,2,1,2,1,1,1,0,1,0,1,0,0,3,0,0,0,1,1,1,0,0,0
133,0,2,0,0,0,1,1,1,1,0,3,0,0,0,0,0,1,0,0,2,1,1,0,1,0,0,1
134,0,2,0,2,1,2,0,2,0,1,3,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,2
135,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1
136,0,0,0,0,0,2,2,2,1,1,2,0,1,0,1,0,2,0,0,1,0,1,1,2,0,0,2
137,0,0,1,1,0,2,1,2,1,2,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,2
138,0,1,1,1,1,2,1,2,1,1,2,1,1,0,1,0,2,0,0,1,0,0,1,3,1,0,0
139,1,1,1,0,1,2,1,2,1,2,3,1,2,0,1,0,2,1,1,1,0,0,1,2,1,0,2
140,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,1
141,0,0,2,2,1,2,2,2,1,2,3,1,1,0,1,0,1,2,1,1,0,0,1,3,1,0,2
142,0,1,1,1,1,2,1,2,1,1,2,0,1,0,1,0,2,0,0,1,0,0,1,2,1,0,2
143,0,0,1,0,0,2,1,2,1,0,0,0,0,0,1,0,2,1,0,1,0,0,1,1,0,0,0
144,0,0,0,1,0,2,0,2,0,1,3,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0
145,0,0,2,2,1,2,0,2,1,2,2,0,1,0,1,0,2,2,1,1,0,0,1,1,1,0,2
146,0,2,0,1,0,2,0,2,0,1,3,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0
147,0,2,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2
148,0,0,1,1,1,1,1,1,1,0,2,1,0,0,2,0,2,1,0,2,2,0,1,3,1,0,1
149,0,0,1,0,0,2,2,2,1,1,2,0,1,0,1,0,0,2,0,1,0,0,1,3,1,0,2
150,0,0,1,2,0,2,1,2,1,1,1,0,1,0,1,0,0,1,1,1,0,0,1,2,0,0,2
151,0,0,1,0,1,2,0,2,1,1,0,0,1,0,1,0,2,1,0,1,0,0,1,0,1,0,2
152,0,2,0,2,0,2,0,2,0,2,2,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,2
153,0,2,1,0,0,0,0,0,3,0,0,0,0,0,2,0,3,1,0,3,1,1,3,0,0,0,1
154,0,0,1,2,1,2,1,2,1,0,0,1,0,0,1,0,2,2,1,1,0,1,1,2,1,0,2
155,0,0,2,0,0,2,1,2,2,1,2,0,1,0,1,0,2,3,1,1,0,0,1,2,0,0,2
156,0,0,0,0,0,2,0,2,0,2,2,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,2
157,0,2,0,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
158,0,0,1,0,0,2,2,1,1,0,2,0,0,0,1,0,2,1,1,0,2,0,0,2,0,1,0
159,0,0,3,1,1,2,0,2,3,2,3,1,2,0,1,0,2,2,1,1,0,0,1,0,1,0,2
160,0,2,0,0,0,2,0,2,0,1,1,0,1,0,1,0,0,3,0,0,0,1,1,0,0,0,2
161,0,0,0,2,0,0,2,0,1,0,0,0,0,0,2,0,2,0,1,2,0,0,1,2,0,0,1
162,0,0,0,2,0,1,0,1,0,0,3,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,2
163,0,2,2,1,1,2,1,2,2,1,2,1,1,0,1,0,3,0,0,1,0,0,1,2,1,0,2
164,0,0,3,0,1,2,0,2,3,1,3,1,1,0,1,0,2,2,1,1,0,0,1,0,1,0,2
165,0,0,1,0,0,2,1,2,1,2,2,0,2,0,1,0,0,2,0,1,0,0,1,2,1,0,2
166,0,1,0,2,0,2,0,2,0,0,3,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,2
167,0,0,1,1,1,2,0,2,1,2,3,0,2,0,1,0,2,0,0,1,0,0,1,0,1,0,2
168,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2
169,1,1,2,1,1,2,1,2,2,0,2,1,0,0,1,0,3,2,1,1,0,0,1,1,1,0,1
170,0,2,0,0,0,2,0,2,0,1,3,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
171,0,0,0,2,1,1,1,1,1,0,3,0,0,0,2,0,2,3,0,2,0,0,1,2,1,0,0
172,0,2,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,2
173,0,2,2,0,1,2,0,2,3,1,2,1,1,1,1,0,2,2,1,0,0,0,1,0,1,0,2
174,0,0,1,2,0,2,1,2,1,2,0,0,2,0,1,0,1,2,1,1,0,1,1,1,0,0,2
175,0,0,1,0,0,3,0,3,0,0,2,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,1
176,0,0,0,1,0,2,1,2,1,2,3,0,1,0,1,0,0,3,0,1,0,0,1,1,0,0,2
177,0,0,1,0,1,2,1,2,1,1,0,0,1,0,1,0,2,1,1,1,0,0,1,2,1,0,2
178,0,0,0,0,0,2,1,2,1,1,2,0,1,0,1,0,1,0,0,0,0,1,1,2,1,0,2
179,0,0,0,0,1,2,1,2,0,1,3,0,1,0,1,0,1,0,0,1,0,1,1,2,1,0,2
180,0,2,0,2,1,2,0,2,3,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,2
181,0,0,1,0,1,2,0,2,3,0,2,1,0,0,1,0,2,2,0,1,0,0,1,1,1,0,1
182,0,0,1,0,0,2,2,2,1,0,3,0,0,0,1,0,1,1,1,0,0,0,1,3,0,0,0
183,0,2,0,2,0,2,1,2,1,2,2,0,2,0,1,0,0,3,1,1,0,0,1,3,1,0,2
184,0,2,0,2,0,2,0,2,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,2
185,0,0,1,0,1,2,1,2,1,1,3,1,1,0,1,0,2,3,0,1,0,0,1,3,1,0,2
186,0,0,0,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,1
187,0,0,2,2,0,2,2,2,2,0,0,0,0,0,1,0,2,2,1,1,0,0,1,3,1,0,0
188,0,2,2,1,1,3,2,3,1,0,3,0,0,0,1,0,2,0,0,0,0,0,1,3,1,0,1
189,0,0,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2
190,0,1,0,0,1,2,1,3,0,0,3,0,0,0,1,0,1,0,0,1,0,0,1,2,1,0,1
191,0,0,2,1,1,2,0,2,2,2,0,1,1,0,1,0,3,3,0,1,0,0,1,0,1,0,0
192,0,0,1,0,0,2,1,2,1,1,3,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,2
193,0,0,0,0,0,2,0,2,0,1,3,0,1,0,1,0,0,3,0,1,0,0,1,0,0,0,2
194,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,1
195,0,0,1,2,1,2,0,2,3,2,2,1,2,0,1,0,2,2,1,0,0,0,1,1,1,0,2
196,0,0,1,0,0,2,1,2,1,1,3,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,2
197,0,0,0,1,0,2,0,2,0,2,3,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0
198,0,1,2,1,1,1,1,1,2,0,2,1,0,0,2,0,3,0,0,2,1,0,1,2,1,0,1
199,0,0,0,0,0,2,2,2,1,0,3,0,0,0,1,0,1,0,0,1,0,1,1,3,1,0,1
200,0,0,1,1,0,2,0,2,0,2,2,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
201,0,1,1,1,1,2,0,2,1,0,2,0,1,0,1,0,2,1,0,1,0,0,1,1,1,0,2
202,0,2,2,3,0,1,1,1,2,0,3,0,1,0,1,0,1,0,0,2,1,0,1,3,1,0,0
203,1,1,2,0,0,1,1,1,2,0,2,0,0,0,2,0,3,3,1,2,0,0,0,1,0,0,1
204,0,0,1,0,0,3,1,3,1,0,3,0,0,0,1,0,2,3,0,1,0,0,1,2,0,0,1
205,0,0,1,2,0,2,1,2,1,1,3,0,1,0,1,0,1,2,1,1,0,0,1,1,0,0,2
206,0,0,0,0,0,3,1,3,1,1,3,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,2
207,0,0,1,1,1,2,2,2,1,1,3,1,1,0,1,0,2,1,0,1,0,0,1,3,1,0,2
208,0,1,1,3,1,2,0,2,0,2,3,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1
209,0,0,2,0,1,2,1,2,1,1,3,0,1,0,1,0,2,1,0,1,0,0,1,2,1,0,2
210,0,0,2,1,1,1,1,1,2,2,3,1,2,0,2,0,3,1,0,2,2,0,0,3,1,0,0
211,1,1,1,0,0,3,2,0,1,0,3,0,0,0,0,0,0,1,0,2,2,0,1,2,0,0,0
212,0,2,0,2,0,0,1,0,1,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
213,0,0,2,1,1,2,1,2,1,2,2,1,1,0,1,0,2,0,0,0,0,0,1,2,1,0,2
214,0,1,1,0,0,2,1,2,1,0,2,0,0,0,1,0,1,2,1,1,0,0,1,1,0,0,1
215,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
216,0,1,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1
217,0,1,1,0,0,2,0,2,3,0,3,0,0,0,1,0,2,1,0,1,0,1,1,0,0,0,1
218,0,0,1,0,1,2,0,2,3,1,3,1,1,0,1,0,2,1,0,1,0,0,1,0,1,0,2
219,0,2,0,2,0,1,1,1,1,0,2,0,0,0,2,0,2,0,1,2,1,0,1,1,0,2,2
220,0,1,1,0,0,2,0,2,0,1,3,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0
221,0,1,1,2,0,3,2,0,1,0,3,0,0,0,1,0,1,2,1,0,2,0,1,2,0,0,1
222,0,0,1,0,0,2,0,2,3,1,3,1,1,0,1,0,2,2,0,1,0,1,1,0,0,0,2
223,0,0,0,1,0,2,2,2,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0
224,0,2,0,0,0,2,0,2,0,1,2,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2
225,1,1,2,1,1,2,0,2,1,0,3,0,0,0,1,0,2,3,0,0,0,0,1,0,1,0,1
226,0,1,1,0,0,2,0,2,0,1,3,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,2
227,0,0,0,1,0,2,0,2,0,1,0,0,1,0,1,0,0,3,0,1,0,1,1,0,0,0,2
228,0,1,0,0,0,2,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0
229,0,2,0,2,0,2,0,2,0,1,2,0,1,1,1,0,0,3,1,1,0,0,1,1,0,0,2
230,0,1,1,1,0,1,1,1,1,0,2,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,1
231,0,2,0,2,0,2,0,2,0,1,3,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,2
232,0,0,3,1,1,2,1,2,1,2,3,1,1,0,1,0,2,3,1,1,0,0,1,1,1,0,2
233,0,0,1,0,0,2,0,2,0,1,2,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,2
234,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
235,0,2,2,1,1,3,1,3,1,1,3,0,1,0,1,0,2,3,0,1,0,0,1,3,1,0,2
236,0,0,0,0,0,2,0,2,0,1,1,0,1,0,1,0,0,3,0,0,0,1,1,0,0,0,2
237,0,0,0,0,0,2,2,2,1,1,2,0,1,0,1,0,0,0,0,1,0,1,1,2,0,0,2
238,0,0,2,1,1,2,1,2,1,0,3,1,0,0,1,0,2,0,0,1,0,0,1,3,1,0,1
239,0,2,0,0,0,2,0,2,0,2,3,0,2,1,1,0,1,0,0,1,0,1,1,0,0,0,2
240,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1
241,0,0,0,2,0,2,2,2,1,1,2,0,1,0,1,0,0,1,0,1,0,0,1,3,0,0,2
242,0,0,1,0,0,2,0,2,0,1,3,0,1,0,1,0,1,3,1,1,0,0,1,0,0,0,2
243,0,2,3,0,1,2,1,2,2,1,2,1,1,1,1,0,3,2,1,1,0,1,1,3,1,0,2
